libelle_actuel;ou;occurrences;type;documents;action;nom_propose;texte_libre_propose;confiance;motif
Sonde temp. Classe 3;documents;1;COM;Maternelle — Plailly;SCINDER;Sonde ambiance Ss Fil;Classe 3;sûr;relecture : point COM = sonde sans fil
Sonde temp. Couloir CM1+CM2 - Primaire;documents;1;COM;Primaire — Plailly;SCINDER;Sonde ambiance Ss Fil;Couloir CM1+CM2 - Primaire;sûr;relecture : point COM = sonde sans fil
Sonde temp. Couloir maternelle;documents;1;COM;Ecole Primaire Berthecourt — Automate maître;SCINDER;Sonde ambiance Ss Fil;Couloir maternelle;sûr;relecture : point COM = sonde sans fil
Sonde temp. Couloir preau;documents;1;COM;Ecole Primaire Berthecourt — Automate maître;SCINDER;Sonde ambiance Ss Fil;Couloir preau;sûr;relecture : point COM = sonde sans fil
Sonde temp. Couloir primaire;documents;1;COM;Ecole Primaire Berthecourt — Automate maître;SCINDER;Sonde ambiance Ss Fil;Couloir primaire;sûr;relecture : point COM = sonde sans fil
Sonde temp. Cuisine;documents;1;COM;Centre Culturel Plailly — Automate Chauffage;SCINDER;Sonde ambiance Ss Fil;Cuisine;sûr;relecture : point COM = sonde sans fil
Sonde temp. Deg 2;documents;1;COM;Maternelle — Plailly;RENOMMER;Sonde ambiance Ss Fil;Deg 2;sûr;relecture : point COM = sonde sans fil
Sonde temp. Deg. Hall;documents;1;COM;Maternelle — Plailly;SCINDER;Sonde ambiance Ss Fil;Deg. — Hall;sûr;relecture : point COM = sonde sans fil
Sonde temp. Degagement CE1;documents;1;COM;Primaire — Plailly;SCINDER;Sonde ambiance Ss Fil;Degagement CE1;sûr;relecture : point COM = sonde sans fil
Sonde temp. Entree;documents;1;COM;Centre Culturel Plailly — Automate Chauffage;RENOMMER;Sonde ambiance Ss Fil;Entree;sûr;relecture : point COM = sonde sans fil
Sonde temp. Evolution;documents;1;COM;Maternelle — Plailly;SCINDER;Sonde ambiance Ss Fil;Evolution;sûr;relecture : point COM = sonde sans fil
Sonde temp. Grande Salle - Fond;documents;1;COM;Centre Culturel Plailly — Automate Chauffage;SCINDER;Sonde ambiance Ss Fil;Grande Salle - Fond;sûr;relecture : point COM = sonde sans fil
Sonde temp. Grande Salle - Scene;documents;1;COM;Centre Culturel Plailly — Automate Chauffage;SCINDER;Sonde ambiance Ss Fil;Grande Salle - Scene;sûr;relecture : point COM = sonde sans fil
Sonde temp. Hall;documents;1;COM;Centre Culturel Plailly — Automate Chauffage;SCINDER;Sonde ambiance Ss Fil;Hall;sûr;relecture : point COM = sonde sans fil
Sonde temp. Mezzanine;documents;1;COM;Centre Culturel Plailly — Automate Chauffage;RENOMMER;Sonde ambiance Ss Fil;Mezzanine;sûr;relecture : point COM = sonde sans fil
Sonde temp. Peinture;documents;1;COM;Maternelle — Plailly;SCINDER;Sonde ambiance Ss Fil;Peinture;sûr;relecture : point COM = sonde sans fil
Sonde temp. Preau;documents;1;COM;Ecole Primaire Berthecourt — Automate maître;SCINDER;Sonde ambiance Ss Fil;Preau;sûr;relecture : point COM = sonde sans fil
Sonde temp. Preau 1 - Primaire;documents;1;COM;Primaire — Plailly;SCINDER;Sonde ambiance Ss Fil;Preau 1 - Primaire;sûr;relecture : point COM = sonde sans fil
Sonde temp. Preau 2 - Primaire;documents;1;COM;Primaire — Plailly;SCINDER;Sonde ambiance Ss Fil;Preau 2 - Primaire;sûr;relecture : point COM = sonde sans fil
Sonde temp. Rangement;documents;1;COM;Maternelle — Plailly;SCINDER;Sonde ambiance Ss Fil;Rangement;sûr;relecture : point COM = sonde sans fil
Sonde temp. Rangement periscolaire;documents;1;COM;Ecole Primaire Berthecourt — Automate maître;SCINDER;Sonde ambiance Ss Fil;Rangement periscolaire;sûr;relecture : point COM = sonde sans fil
Sonde temp. Rgt Admin;documents;1;COM;Maternelle — Plailly;SCINDER;Sonde ambiance Ss Fil;Rgt Admin;sûr;relecture : point COM = sonde sans fil
Sonde temp. Salle CE1;documents;1;COM;Primaire — Plailly;SCINDER;Sonde ambiance Ss Fil;Salle CE1;sûr;relecture : point COM = sonde sans fil
Sonde temp. Salle CE2;documents;1;COM;Primaire — Plailly;SCINDER;Sonde ambiance Ss Fil;Salle CE2;sûr;relecture : point COM = sonde sans fil
Sonde temp. Salle CM1;documents;1;COM;Primaire — Plailly;SCINDER;Sonde ambiance Ss Fil;Salle CM1;sûr;relecture : point COM = sonde sans fil
Sonde temp. Salle CM2;documents;1;COM;Primaire — Plailly;SCINDER;Sonde ambiance Ss Fil;Salle CM2;sûr;relecture : point COM = sonde sans fil
Sonde temp. Salle CP;documents;1;COM;Primaire — Plailly;SCINDER;Sonde ambiance Ss Fil;Salle CP;sûr;relecture : point COM = sonde sans fil
Sonde temp. Salle des maitres;documents;1;COM;Ecole Primaire Berthecourt — Automate maître;SCINDER;Sonde ambiance Ss Fil;Salle des maitres;sûr;relecture : point COM = sonde sans fil
